Tested Params: nbRoots and ratioDeletedRoots. Trainings lead on MNIST with default Kelly parameters on 300 generations. With seed : 1, 2 and 3.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Training;nbRoots;ratioDeletedRoots;Score 1;Score 2;Score 3;Score 4;Score 5;Score 6;Score 7;Score 8;Moyenne;Gen 1;Gen 2;Gen 3;Gen 4;Gen 5;Gen 6;Gen 7;Gen 8;Moyenne;Temps
128;5000;0.9;57,57;57,56;60,51;;;;;;58,55;284;293;289;;;;;;288,67;12373
129;5000;0.95;59,41;56,04;58,91;;;;;;58,12;287;294;297;;;;;;292,67;12593
130;5000;0.99;59,83;58,93;59;;;;;;59,25;188;274;242;;;;;;234,67;11696
131;7000;0.01;12,93;12,93;10;;;;;;11,95;202;299;26;;;;;;175,67;4288
132;7000;0.1;17,54;23,67;19,92;;;;;;20,38;224;298;187;;;;;;236,33;10162
133;7000;0.3;43,49;35,5;34,37;;;;;;37,79;260;283;294;;;;;;279,00;17894
134;7000;0.5;44,44;45,16;50,87;;;;;;46,82;273;264;299;;;;;;278,67;21353
135;7000;0.7;58,45;51,84;54,11;;;;;;54,80;286;299;296;;;;;;293,67;22968
136;7000;0.8;52,03;55,24;57,1;;;;;;54,79;290;275;286;;;;;;283,67;21130
137;7000;0.85;56,86;54,67;56,33;;;;;;55,95;299;281;293;;;;;;291,00;20951
138;7000;0.9;57,9;56,13;57,04;;;;;;57,02;298;238;295;;;;;;277,00;21029
139;7000;0.95;61,38;57,68;58,02;;;;;;59,03;290;295;285;;;;;;290,00;20301
140;7000;0.99;58,5;59,28;59,18;;;;;;58,99;248;296;288;;;;;;277,33;17469
141;10000;0.01;54,04;13,75;13,75;;;;;;27,18;268;299;;;;;;;283,50;8280
142;10000;0.1;19,42;19,98;18,17;;;;;;19,19;226;281;;;;;;;253,50;20346
143;10000;0.3;36,34;43,78;37,9;;;;;;39,34;252;294;;;;;;;273,00;35444
144;10000;0.5;50,97;51,95;48,25;;;;;;50,39;295;285;;;;;;;290,00;43067
145;10000;0.7;51,43;55,28;50,45;;;;;;52,39;271;266;;;;;;;268,50;44024
146;10000;0.8;54,82;55,91;53,59;;;;;;54,77;281;283;;;;;;;282,00;42438
147;10000;0.85;53,18;58,94;57,86;;;;;;56,66;271;288;;;;;;;279,50;43438
148;10000;0.9;46,24;57,24;;;;;;;51,74;211;297;;;;;;;254,00;43438
149;10000;0.95;60,5;58,87;;;;;;;59,69;292;284;;;;;;;288,00;44092
150;10000;0.99;59,23;57,98;;;;;;;58,61;269;292;;;;;;;280,50;38880
